"id","sourceIn","sourceOut","targetIn","targetOut","created","flavor","createdAt","updatedAt","nodeId","targetNodeId","userId"
1,10,10,0,315,"2019-05-18 21:49:59.508+02","pro","2019-05-18 21:49:59.508+02","2019-05-18 21:49:59.508+02",1,2,1
14,390,390,0,722,"2019-05-31 20:15:22.272+02","science","2019-05-31 20:15:22.272+02","2019-05-31 20:15:22.272+02",4,17,1
2,51,411,300,300,"2019-05-18 22:24:50.739+02","factChecker","2019-05-18 22:24:50.74+02","2019-05-18 22:24:50.74+02",1,3,3
3,0,0,0,0,"2019-05-18 22:34:00.745+02","contra","2019-05-18 22:34:00.745+02","2019-05-18 22:34:00.745+02",1,5,3
5,60,107,30,193,"2019-05-22 12:28:49.791+02","pro","2019-05-22 12:28:49.791+02","2019-05-22 12:28:49.791+02",4,7,3
6,3,222,30,230,"2019-05-22 12:51:15.176+02","pro","2019-05-22 12:51:15.176+02","2019-05-22 12:51:15.176+02",4,8,3
7,213,213,0,180,"2019-05-22 13:03:55.057+02","pro","2019-05-22 13:03:55.057+02","2019-05-22 13:03:55.057+02",4,9,3
8,223,224,0,0,"2019-05-22 13:09:55.052+02","pro","2019-05-22 13:09:55.052+02","2019-05-22 13:09:55.052+02",4,10,3
9,78,78,51,231,"2019-05-30 09:23:59.326+02","neutral","2019-05-30 09:23:59.326+02","2019-05-30 09:23:59.326+02",1,11,3
10,66,66,120,2751,"2019-05-30 13:32:20.973+02","pro","2019-05-30 13:32:20.973+02","2019-05-30 13:32:20.973+02",12,13,3
11,214,214,19,181,"2019-05-30 13:37:18.634+02","factChecker","2019-05-30 13:37:18.634+02","2019-05-30 13:37:18.634+02",12,14,3
12,214,214,35,1438,"2019-05-30 13:41:08.84+02","factChecker","2019-05-30 13:41:08.84+02","2019-05-30 13:41:08.84+02",12,15,3
15,143,143,0,2689,"2019-06-04 19:00:25.987+02","pro","2019-06-04 19:00:25.988+02","2019-06-04 19:00:25.988+02",19,20,3
16,370,370,0,269,"2019-06-04 19:45:50.754+02","pro","2019-06-04 19:45:50.754+02","2019-06-04 19:45:50.754+02",19,21,3
