"id","url","uploaded","type","duration","createdAt","updatedAt","userId"
1,"ktnmKmskeys","2019-05-18 21:20:33.708+02","youtube",411,"2019-05-18 21:20:33.71+02","2019-05-18 21:20:33.71+02",1
2,"tzNbPgbrSr0","2019-05-18 21:49:59.486+02","youtube",315,"2019-05-18 21:49:59.487+02","2019-05-18 21:49:59.487+02",1
16,"G0mncEl4nVU","2019-05-30 18:49:31.339+02","youtube",998,"2019-05-30 18:49:31.339+02","2019-05-30 18:49:31.339+02",1
17,"AeJ9q45PfD0","2019-05-31 20:15:22.235+02","youtube",722,"2019-05-31 20:15:22.236+02","2019-05-31 20:15:22.236+02",1
18,"CwVv6GM3Dos","2019-06-03 17:56:30.358+02","youtube",126,"2019-06-03 17:56:30.358+02","2019-06-03 17:56:30.358+02",1
3,"XmGQ_bvM0lQ","2019-05-18 22:24:50.73+02","youtube",5837,"2019-05-18 22:24:50.73+02","2019-05-18 22:24:50.73+02",3
4,"RS7IzU2VJIQ","2019-05-18 22:27:07.069+02","youtube",542,"2019-05-18 22:27:07.069+02","2019-05-18 22:27:07.069+02",3
5,"8HslUzw35mc","2019-05-18 22:34:00.736+02","youtube",512,"2019-05-18 22:34:00.736+02","2019-05-18 22:34:00.736+02",3
6,"RS7IzU2VJIQ","2019-05-22 12:28:14.77+02","youtube",542,"2019-05-22 12:28:14.77+02","2019-05-22 12:28:14.77+02",3
7,"EoyWY-LlYTs","2019-05-22 12:28:49.783+02","youtube",205,"2019-05-22 12:28:49.783+02","2019-05-22 12:28:49.783+02",3
8,"SnB6iRDoJ90","2019-05-22 12:51:15.168+02","youtube",576,"2019-05-22 12:51:15.168+02","2019-05-22 12:51:15.168+02",3
9,"Z0m7xhxu4dQ","2019-05-22 13:03:55.038+02","youtube",181,"2019-05-22 13:03:55.038+02","2019-05-22 13:03:55.038+02",3
10,"khqzd1Lq1sI","2019-05-22 13:09:55.019+02","youtube",362,"2019-05-22 13:09:55.019+02","2019-05-22 13:09:55.019+02",3
11,"BZ0YFoUcY0s","2019-05-30 09:23:59.299+02","youtube",1191,"2019-05-30 09:23:59.3+02","2019-05-30 09:23:59.3+02",3
12,"RS7IzU2VJIQ","2019-05-30 13:29:12.801+02","youtube",542,"2019-05-30 13:29:12.801+02","2019-05-30 13:29:12.801+02",3
13,"D35YnZ7_WxM","2019-05-30 13:32:20.964+02","youtube",2751,"2019-05-30 13:32:20.964+02","2019-05-30 13:32:20.964+02",3
14,"Z0m7xhxu4dQ","2019-05-30 13:37:18.613+02","youtube",181,"2019-05-30 13:37:18.613+02","2019-05-30 13:37:18.613+02",3
15,"AkSXB-lRAp0","2019-05-30 13:41:08.831+02","youtube",1438,"2019-05-30 13:41:08.831+02","2019-05-30 13:41:08.831+02",3
19,"4Y1lZQsyuSQ","2019-06-04 18:43:41.181+02","youtube",3298,"2019-06-04 18:43:41.182+02","2019-06-04 18:43:41.182+02",3
20,"lzNhn_cP-iE","2019-06-04 19:00:25.974+02","youtube",2689,"2019-06-04 19:00:25.974+02","2019-06-04 19:00:25.974+02",3
21,"F-IgOWwzIL4","2019-06-04 19:45:50.745+02","youtube",269,"2019-06-04 19:45:50.745+02","2019-06-04 19:45:50.745+02",3
22,"pwvVephTIHU","2019-06-04 19:51:09.479+02","youtube",320,"2019-06-04 19:51:09.479+02","2019-06-04 19:51:09.479+02",3
23,"EbjKcHPmxKQ","2019-06-04 19:59:12.202+02","youtube",173,"2019-06-04 19:59:12.202+02","2019-06-04 19:59:12.202+02",3
24,"eRLJscAlk1M","2019-06-04 20:17:30.758+02","youtube",363,"2019-06-04 20:17:30.758+02","2019-06-04 20:17:30.758+02",3
25,"co5uywe-1Z8","2019-06-04 20:22:46.452+02","youtube",2546,"2019-06-04 20:22:46.453+02","2019-06-04 20:22:46.453+02",3
26,"njhBznv-IoU","2019-06-05 00:22:55.887+02","youtube",11,"2019-06-05 00:22:55.887+02","2019-06-05 00:22:55.887+02",9
27,"nlgbJQtiJlo","2019-06-05 00:24:28.825+02","youtube",11,"2019-06-05 00:24:28.825+02","2019-06-05 00:24:28.825+02",9
28,"QQ3gdvH9-n8","2019-06-05 00:25:42.082+02","youtube",10,"2019-06-05 00:25:42.082+02","2019-06-05 00:25:42.082+02",9
29,"iqGkwNiBuLU","2019-06-05 00:33:44.321+02","youtube",9,"2019-06-05 00:33:44.321+02","2019-06-05 00:33:44.321+02",9
30,"aFPwv1i_1i0","2019-06-05 00:36:19.394+02","youtube",9,"2019-06-05 00:36:19.394+02","2019-06-05 00:36:19.394+02",9
31,"-x1dKhA0Vac","2019-06-05 00:37:43.868+02","youtube",8,"2019-06-05 00:37:43.868+02","2019-06-05 00:37:43.868+02",9
32,"PJt8GUWnQAQ","2019-06-05 00:48:35.988+02","youtube",9,"2019-06-05 00:48:35.988+02","2019-06-05 00:48:35.988+02",9
33,"YN2ZqU0hQ-w","2019-06-05 00:49:29.666+02","youtube",8,"2019-06-05 00:49:29.666+02","2019-06-05 00:49:29.666+02",9
34,"saBoFC8VZgk","2019-06-05 11:29:09.247+02","youtube",7,"2019-06-05 11:29:09.247+02","2019-06-05 11:29:09.247+02",30
35,"lHtPQwGaonI","2019-06-05 11:30:02.02+02","youtube",9,"2019-06-05 11:30:02.021+02","2019-06-05 11:30:02.021+02",30
36,"gYvbTZgDPdw","2019-06-05 11:31:35.86+02","youtube",11,"2019-06-05 11:31:35.86+02","2019-06-05 11:31:35.86+02",30
37,"BR204X1pATQ","2019-06-05 11:32:22.945+02","youtube",7,"2019-06-05 11:32:22.945+02","2019-06-05 11:32:22.945+02",30
38,"4tqguaorcjY","2019-06-05 11:33:04.14+02","youtube",8,"2019-06-05 11:33:04.14+02","2019-06-05 11:33:04.14+02",30
39,"lvaC_iezU5U","2019-06-05 11:36:03.52+02","youtube",9,"2019-06-05 11:36:03.52+02","2019-06-05 11:36:03.52+02",30
40,"QxHnszHBmZE","2019-06-05 11:36:45.791+02","youtube",7,"2019-06-05 11:36:45.791+02","2019-06-05 11:36:45.791+02",30
41,"QxHnszHBmZE","2019-06-05 11:36:46.471+02","youtube",7,"2019-06-05 11:36:46.471+02","2019-06-05 11:36:46.471+02",30
42,"QxHnszHBmZE","2019-06-05 11:37:56.152+02","youtube",7,"2019-06-05 11:37:56.152+02","2019-06-05 11:37:56.152+02",30
43,"l_kI88MSxKg","2019-06-05 11:38:13.14+02","youtube",8,"2019-06-05 11:38:13.14+02","2019-06-05 11:38:13.14+02",30
44,"8PEMuLpCUmo","2019-06-05 11:39:09.205+02","youtube",8,"2019-06-05 11:39:09.205+02","2019-06-05 11:39:09.205+02",30
45,"7hdFwxzIBiA","2019-06-05 11:40:02.761+02","youtube",7,"2019-06-05 11:40:02.761+02","2019-06-05 11:40:02.761+02",30
46,"jIdSN7NwUGk","2019-06-05 11:44:59.271+02","youtube",12,"2019-06-05 11:44:59.271+02","2019-06-05 11:44:59.271+02",30
47,"FlJ750FOyVY","2019-06-05 11:45:06.273+02","youtube",160,"2019-06-05 11:45:06.273+02","2019-06-05 11:45:06.273+02",3
48,"ediXdo60SmM","2019-06-05 11:46:13.912+02","youtube",7,"2019-06-05 11:46:13.912+02","2019-06-05 11:46:13.912+02",30
49,"fiJSv9e8Z2w","2019-06-05 11:46:39.199+02","youtube",8,"2019-06-05 11:46:39.199+02","2019-06-05 11:46:39.199+02",30
50,"cmwnWfcQyxA","2019-06-05 11:47:13.329+02","youtube",6,"2019-06-05 11:47:13.329+02","2019-06-05 11:47:13.329+02",30
51,"zDv6ODx8rhI","2019-06-05 11:47:44.812+02","youtube",12,"2019-06-05 11:47:44.812+02","2019-06-05 11:47:44.812+02",30
52,"sK4oBqyT6zI","2019-06-05 11:47:59.399+02","youtube",10,"2019-06-05 11:47:59.399+02","2019-06-05 11:47:59.399+02",30
53,"Z1miw9FZaNU","2019-06-05 11:48:22.262+02","youtube",9,"2019-06-05 11:48:22.262+02","2019-06-05 11:48:22.262+02",30
54,"sZ7oWjZK9DY","2019-06-05 11:48:43.567+02","youtube",8,"2019-06-05 11:48:43.567+02","2019-06-05 11:48:43.567+02",30
55,"nB9PQjkC1KM","2019-06-05 11:49:19.705+02","youtube",10,"2019-06-05 11:49:19.705+02","2019-06-05 11:49:19.705+02",30
56,"-tPh98vUV1w","2019-06-05 11:49:41.089+02","youtube",11,"2019-06-05 11:49:41.089+02","2019-06-05 11:49:41.089+02",30
